Solution_ID,panel_scheme,truss_scheme,R_p_panel_rationalisation,R_t_truss_rationalisation,panel_widths_mm,truss_spans_m,N_panel_classes,N_truss_types,RI_panel_norm,RI_truss_norm,opening_complexity_index,N_openings_reference,P_f_prefab_level,Weight_kg,Cost_NZD,Carbon_kgCO2e,Time_hours,Cost_normalized,Carbon_normalized,Time_normalized,Cost_fitness,Carbon_fitness,Time_fitness,Cost_vs_S2_%,Carbon_vs_S2_%,Time_vs_S2_%,NZ_feasible,Hard_violations,Soft_violations,Penalty_cost,Penalty_carbon,Penalty_time,Total_constraint_penalty,Max_panel_width_m,Panel_height_m,Stud_spacing_mm,Steel_thickness_mm,Panel_lift_mass_kg,Factory_repetition_score,Unique_truss_spans,Carbon_intensity_kgCO2e_m2,Cluster_ID,Archetype,CFS_framing_A1_A5_carbon_kgCO2e,CFS_framing_A1_A5_carbon_normalized,CFS_framing_A1_A5_carbon_vs_S2_%
P28,2,2,0.6897,0.6797,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.961,1.526,1.136,1.0,12,0.7113,2167.44,18040.64,5307.56,90.32,0.9839203492756865,0.9889620521061244,0.9616173695848889,0.9839203492756865,0.9889620521061244,0.9616173695848889,-1.61,-1.1,-3.84,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,53.998,1,Low Time,5307.56,0.9889620521061244,-1.1
P29,2,2,0.6916,0.6787,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.617,14.964,1.529,1.136,1.0,12,0.7112,2167.44,18040.64,5307.57,90.31,0.983920372811801,0.9889655381086185,0.9616010194679054,0.983920372811801,0.9889655381086185,0.9616010194679054,-1.61,-1.1,-3.84,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,53.998,1,Low Time,5307.57,0.9889655381086185,-1.1
P30,2,2,0.6895,0.6796,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.961,1.526,1.136,1.0,12,0.7115,2167.44,18040.66,5307.46,90.31,0.9839213666328419,0.9889439297119416,0.9615370046744558,0.9839213666328419,0.9889439297119416,0.9615370046744558,-1.61,-1.11,-3.85,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,53.997,1,Low Time,5307.46,0.9889439297119416,-1.11
P31,2,2,0.6895,0.6787,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.964,1.526,1.136,1.0,12,0.7115,2167.44,18040.66,5307.41,90.31,0.9839214177661018,0.9889354798278628,0.9615117551872447,0.9839214177661018,0.9889354798278628,0.9615117551872447,-1.61,-1.11,-3.85,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,53.996,1,Low Time,5307.41,0.9889354798278628,-1.11
P32,2,2,0.689,0.6789,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.622,14.963,1.526,1.136,1.0,12,0.7117,2167.44,18040.68,5307.35,90.3,0.9839223415798016,0.988924113668796,0.9614648466935989,0.9839223415798016,0.988924113668796,0.9614648466935989,-1.61,-1.11,-3.85,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,53.996,1,Low Time,5307.35,0.988924113668796,-1.11
P33,2,2,0.6891,0.6797,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.622,14.961,1.526,1.136,1.0,12,0.7117,2167.44,18040.68,5307.32,90.3,0.9839224815324141,0.9889179693071728,0.9614250614090555,0.9839224815324141,0.9889179693071728,0.9614250614090555,-1.61,-1.11,-3.86,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,53.995,1,Low Time,5307.32,0.9889179693071728,-1.11
P34,2,2,0.69,0.6785,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.62,14.964,1.527,1.136,1.0,12,0.7118,2167.44,18040.69,5307.26,90.29,0.9839226733082324,0.9889064479648246,0.9613662711721721,0.9839226733082324,0.9889064479648246,0.9613662711721721,-1.61,-1.11,-3.86,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,53.995,1,Low Time,5307.26,0.9889064479648246,-1.11
P35,2,2,0.6887,0.6786,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.623,14.964,1.525,1.136,1.0,12,0.7118,2167.44,18040.69,5307.26,90.29,0.9839227382983494,0.9889062194439406,0.961396235804936,0.9839227382983494,0.9889062194439406,0.961396235804936,-1.61,-1.11,-3.86,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,53.995,1,Low Time,5307.26,0.9889062194439406,-1.11
P36,2,2,0.6885,0.6786,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.623,14.964,1.525,1.136,1.0,12,0.7118,2167.43,18040.69,5307.26,90.29,0.9839227644009966,0.9889062162271028,0.9613998284648818,0.9839227644009966,0.9889062162271028,0.9613998284648818,-1.61,-1.11,-3.86,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,53.995,1,Low Time,5307.26,0.9889062162271028,-1.11
P37,2,2,0.6897,0.6782,"[1200, 1500, 1800]","[3.0, 3.6, 4.2, 4.5, 4.8, 5.1, 5.4, 6.0, 6.3, 6.6, 6.9, 7.2, 7.5, 7.8]",2.621,14.965,1.526,1.136,1.0,12,0.7121,2167.44,18040.71,5307.13,90.28,0.9839241206789107,0.9888818999791181,0.9612607700920616,0.9839241206789107,0.9888818999791181,0.9612607700920616,-1.61,-1.11,-3.87,True,None,None,0.0,0.0,0.0,0.0,1.8,2.7,600.0,0.75,32.51,0.755,14,53.993,1,Low Time,5307.13,0.9888818999791181,-1.11
