Scenario,R_p_panel_rationalisation,R_t_truss_rationalisation,panel_scheme,truss_scheme,opening_complexity_index,P_f_prefab_level,Cost_NZD,Carbon_kgCO2e,Time_hours,Cost_normalized,Carbon_normalized,Time_normalized
full_grid,0.0,0.5,0,1,0.9,0.5,19329.564127177568,5579.2463478029595,122.45702080000001,1.0542168648197687,1.039586402852205,1.3038409292428683
full_grid,0.0,0.5,0,1,0.9,0.55,18849.32956226111,5502.60343739389,110.55293999675284,1.0280253079862398,1.0253054547510938,1.1770941925111515
full_grid,0.0,0.5,0,1,0.9,0.6,18547.209652964513,5445.270102848591,102.22604446541939,1.0115479626367667,1.014622478716716,1.0884349458925853
full_grid,0.0,0.5,0,1,0.9,0.65,18381.878293562826,5402.429080001685,96.64668132591575,1.0025309405136564,1.0066398692279879,1.0290295972006969
full_grid,0.0,0.5,0,1,0.9,0.7,18322.33526098955,5370.466762850926,93.19249761516429,0.9992835176173995,1.0006842995610088,0.9922517459204723
full_grid,0.0,0.5,0,1,0.9,0.75,18332.317619900965,5342.310114409309,91.3966436181221,0.9998279464025424,0.9954378438490609,0.9731306867195284
full_grid,0.0,0.5,0,1,0.9,0.8,18476.871617733308,5317.504597722319,91.20808495901561,1.0077117901037933,0.990815807778961,0.9711230395001197
full_grid,0.0,0.5,0,1,0.9,0.8500000000000001,19476.852858599723,5298.538962231505,95.13141469685573,1.0622498584062525,0.987281922456714,1.0128960457164495
full_grid,0.0,0.5,0,1,0.9,0.9,21495.06948003184,5284.536326828204,103.642698,1.1723215592048148,0.9846727977717822,1.1035185307199467
full_grid,0.0,0.5,0,1,1.0,0.5,19269.117563487973,5568.40850421437,122.98735600000002,1.0509201641573684,1.0375669769067324,1.3094875858041737
full_grid,0.0,0.5,0,1,1.0,0.55,18788.531779381785,5491.784767362881,111.08327519675285,1.0247094521483464,1.0232896014332689,1.1827408490724567
full_grid,0.0,0.5,0,1,1.0,0.6,18486.060650895455,5434.465748035336,102.75637966541939,1.00821295162338,1.0126092927673496,1.0940816024538904
full_grid,0.0,0.5,0,1,1.0,0.65,18320.37807230404,5391.635380979807,97.17701652591577,0.9991767743247768,1.0046286687826012,1.0346762537620022
full_grid,0.0,0.5,0,1,1.0,0.7,18260.483820541038,5359.680959542864,93.7228328151643,0.9959101962530271,0.9986745703316631,0.9978984024817775
full_grid,0.0,0.5,0,1,1.0,0.75,18270.116785844268,5331.530121371936,91.92697881812212,0.9964355694282354,0.9934291972531085,0.9787773432808339
full_grid,0.0,0.5,0,1,1.0,0.8,18414.16484081665,5306.728835580469,91.73842015901562,1.0042918194655996,0.9888079495298899,0.976769696061425
full_grid,0.0,0.5,0,1,1.0,0.8500000000000001,19412.023034185244,5287.766231230092,95.66174989685572,1.0587140986865102,0.9852746290029909,1.0185427022777547
full_grid,0.0,0.5,0,1,1.0,0.9,21426.14452929287,5273.765711979052,104.1730332,1.1685624550161315,0.9826658986227697,1.109165187281252
full_grid,0.0,0.5,0,1,1.1,0.5,20153.83922688991,5610.973677281814,125.91767152,1.0991720798287805,1.0454981870375402,1.3406876369373102
full_grid,0.0,0.5,0,1,1.1,0.55,19674.412466109832,5534.286667690306,114.01359071675286,1.0730245798988856,1.0312090218928387,1.2139409002055936
full_grid,0.0,0.5,0,1,1.1,0.6,19373.1003609496,5476.920408144173,105.68669518541941,1.056591291453046,1.020519910911006,1.1252816535870274
full_grid,0.0,0.5,0,1,1.1,0.65,19208.576805684294,5434.054876977104,100.10733204591577,1.04761832623357,1.0125327347631252,1.065876304895139
full_grid,0.0,0.5,0,1,1.1,0.7,19149.84157724739,5402.07439968457,96.6531483351643,1.0444149602409472,1.0065737812992521,1.0290984536149144
full_grid,0.0,0.5,0,1,1.1,0.75,19160.48630229897,5373.903474829595,94.85729433812212,1.0449955138735543,1.0013246654493067,1.0099773944139707
full_grid,0.0,0.5,0,1,1.1,0.8,19305.968570111443,5349.086705764951,94.66873567901563,1.0529299845761033,0.9967005327127254,1.007969747194562
full_grid,0.0,0.5,0,1,1.1,0.8500000000000001,20310.597421625083,5330.11257733318,98.59206541685575,1.107721529340483,0.9931650648925227,1.0497427534108918
full_grid,0.0,0.5,0,1,1.1,0.9,22337.99743500576,5316.103553461738,107.10334872000001,1.2182940839919683,0.9905547498381035,1.140365238414389
full_grid,0.0,0.5,0,1,1.2000000000000002,0.5,21202.2039949261,5661.29523276883,129.38077168000004,1.1563489417422206,1.0548746514546876,1.3775604246401087
full_grid,0.0,0.5,0,1,1.2000000000000002,0.55,20724.146988985958,5584.533446302756,117.47669087675285,1.1302761469967484,1.04057155306216,1.2508136879083915
full_grid,0.0,0.5,0,1,1.2000000000000002,0.6,20424.20463866567,5527.1113574073825,109.14979534541938,1.1139175637353316,1.029872039343339,1.162154441289825
full_grid,0.0,0.5,0,1,1.2000000000000002,0.65,20261.0508382403,5484.204268653949,103.57043220591576,1.1050193037002782,1.0218771197299386,1.102749092597937
full_grid,0.0,0.5,0,1,1.2000000000000002,0.7,20203.685364643337,5452.192998077535,100.11624849516429,1.1018906428920783,1.0159124285235057,1.0659712413177123
full_grid,0.0,0.5,0,1,1.2000000000000002,0.75,20215.525805761143,5423.99833441414,98.32039449812211,1.1025364097925199,1.0106588893982797,1.0468501821167686
full_grid,0.0,0.5,0,1,1.2000000000000002,0.8,20362.703052384626,5399.163266935741,98.13183583901561,1.1105633230993783,1.0060313471004518,1.0448425348973598
full_grid,0.0,0.5,0,1,1.2000000000000002,0.8500000000000001,21375.333590796956,5380.175519135044,102.05516557685574,1.1657912725969481,1.00249334156998,1.0866155411136897
