Sample_ID,R_p_panel_rationalisation,R_t_truss_rationalisation,panel_scheme,truss_scheme,opening_complexity_index,P_f_prefab_level,Weight_kg,Cost_NZD,Carbon_kgCO2e,Time_hours,Cost_normalized,Carbon_normalized,Time_normalized,Cost_vs_S2_%,Carbon_vs_S2_%,Time_vs_S2_%,NZ_feasible,Total_constraint_penalty,Factory_repetition_score,Carbon_intensity_kgCO2e_m2
48,0.03546534224427231,0.17027028592594434,0,0,0.9981300123279986,0.6896843866317337,2191.795315260677,18306.187371105043,5375.122611953523,94.8789912855423,0.9984028263749332,1.0015518284563223,1.0102084090826378,-0.1597173625066839,0.15518284563222906,1.020840908263776,True,0.0,0.7282598396101374,54.68525019282875
49,0.530306110504297,0.9222761923946561,2,2,0.8861671054790828,0.6569054791908129,2191.648773850072,18364.217695325548,5395.335337747527,94.05033925622648,1.0015677475320637,1.0053180853286865,1.0013854732896241,0.1567747532063679,0.5318085328686495,0.13854732896241284,True,0.0,0.7678390978453328,54.890889774829354
50,0.6660175879910922,0.628357276049135,2,1,0.9943432188678853,0.837512574572207,2160.662460668934,18859.1532936188,5248.232324143259,91.71125046312883,1.02856108536873,0.9779082376129999,0.9764804112062093,2.856108536872992,-2.209176238700006,-2.351958879379068,True,0.0,0.7523696811955685,53.39429784868818
51,0.7375787616706587,0.28163732407130876,2,1,0.8810147850805015,0.6745125993559703,2179.42408184823,18202.04651669196,5356.7202681755925,92.51245465584537,0.9927230787967324,0.9981229018272477,0.9850111006866512,-0.7276921203267617,-0.18770981727522784,-1.4988899313348791,True,0.0,0.7341212626704197,54.49802901737265
52,0.3976029098965065,0.30033245183952073,1,1,1.2697394931103356,0.8418426243027567,2217.2629434401956,21894.94094741785,5405.40079414889,102.88130564103065,1.1941301857162556,1.0071935916177177,1.0954117311722231,19.413018571625564,0.719359161771771,9.541173117222312,True,0.013366736179481028,0.7351052167634835,54.9932933926351
53,0.29098786801219484,0.8518520161365597,1,2,1.1394986495822772,0.7185198906726298,2206.178855264617,19525.058832867002,5405.15757306494,95.84014243418103,1.0648789684432542,1.007148271996393,1.0204421073924366,6.487896844325425,0.7148271996392896,2.044210739243657,True,0.0,0.7641325622528014,54.99081891776483
54,0.7086093521130759,0.6492056403763103,2,1,1.0623411367121902,0.5114669247217888,2176.5504951243174,19457.852644963812,5528.914043433699,118.65860701201248,1.0612136040179814,1.030207935585366,1.2633979449972597,6.121360401798137,3.020793558536594,26.339794499725965,True,0.0,0.7534669635285778,56.24988853043685
55,0.17175787783814403,0.5222010845495731,0,1,0.972985966982438,0.8917310040589193,2172.5909806338113,20985.644062396797,5267.57704258368,101.71569366259467,1.144537959786573,0.9815127578302485,1.0830010699037058,14.453795978657302,-1.8487242169751505,8.300106990370582,True,0.0,0.7467825132219074,53.59110652528873
56,0.39896808846582005,0.18058946239282825,1,0,1.0565419315727405,0.6748291395197932,2189.847388038983,18695.400268419355,5384.715990236811,96.05776161442112,1.019630144158949,1.0033393719700894,1.0227591717169782,1.9630144158949037,0.33393719700893776,2.2759171716978166,True,0.0,0.7288029541610261,54.78285099740377
57,0.7099885963649571,0.6112069936881277,2,1,0.9695386711124147,0.7969988231189268,2164.698748457331,18199.802298076484,5267.476407935333,88.85303484255395,0.9926006811525222,0.9814940064782637,0.9460480318590643,-0.7399318847477798,-1.850599352173632,-5.395196814093572,True,0.0,0.7514670347555155,53.59008269172804
