R_p_panel_rationalisation,R_t_truss_rationalisation,panel_scheme,truss_scheme,N_panel_classes,N_truss_types,opening_complexity_index,P_f_prefab_level,Cost_NZD,Carbon_kgCO2e,Time_hours,Cost_normalized,Carbon_normalized,Time_normalized,Cost_fitness,Carbon_fitness,Time_fitness,NZ_feasible,Hard_violations,Soft_violations,Penalty_cost,Penalty_carbon,Penalty_time,Total_constraint_penalty,Max_panel_width_m,Panel_height_m,Panel_lift_mass_kg,Factory_repetition_score,Carbon_intensity_kgCO2e_m2,CFS_framing_A1_A5_carbon_kgCO2e,CFS_framing_A1_A5_carbon_normalized
0.0,0.0,0,0,4.0,17.0,1.0,0.6,18562.248833771537,5451.991202922259,103.9080947154194,1.0123681858935107,1.0158748278357947,1.106344298469234,1.0123681858935107,1.0158748278357947,1.106344298469234,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.68568888888889,0.7192982456140351,55.46729340050318,5451.991202922259,1.0158748278357947
0.0,0.0,0,0,4.0,17.0,1.0,0.65,18396.231643762145,5409.139947004482,98.30957038841576,1.0033137591921961,1.00789031160901,1.046734934194146,1.0033137591921961,1.00789031160901,1.046734934194146,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.68568888888889,0.7192982456140351,55.03133466614253,5409.139947004482,1.00789031160901
0.0,0.0,0,0,4.0,17.0,1.0,0.7,18335.623082581165,5377.168570350085,94.8285610151643,1.0000082233338055,1.0019330538758997,1.009671461097442,1.0000082233338055,1.0019330538758997,1.009671461097442,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.68568888888889,0.7192982456140351,54.70606529880443,5377.168570350085,1.0019330538758997
0.0,0.0,0,0,4.0,17.0,1.0,0.75,18344.26120866378,5349.003136734929,92.99821688062211,1.0004793388818236,0.996684961214015,0.9901831738467389,1.0004793388818236,0.996684961214015,0.9901831738467389,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.647271768888885,0.7192982456140351,54.41951671280398,5349.003136734929,0.996684961214015
0.0,0.0,0,0,4.0,17.0,1.0,0.8,18487.27692958285,5324.1888725743165,92.76750360901562,1.0082792863578902,0.9920612952186401,0.9877266923442911,1.0082792863578902,0.9920612952186401,0.9877266923442911,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.58324323555557,0.7192982456140351,54.16706214721764,5324.1888725743165,0.9920612952186401
0.0,0.0,0,0,4.0,17.0,1.0,0.85,19486.55302401439,5305.214511223673,96.64101425935571,1.062778896614481,0.9885257839984372,1.0289692580443017,1.062778896614481,0.9885257839984372,1.0289692580443017,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.51921470222223,0.7192982456140351,53.97402139770961,5305.214511223673,0.9885257839984372
0.0,0.0,0,0,4.0,17.0,1.0,0.9,21505.163860131637,5291.202962033369,105.09481400000001,1.1728720975237903,0.9859149983988963,1.1189796962982004,1.1728720975237903,0.9859149983988963,1.1189796962982004,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.45518616888889,0.7192982456140351,53.83147114753356,5291.202962033369,0.9859149983988963
0.0,0.0,0,0,4.0,17.0,1.1,0.5,20229.40299684592,5628.566038126094,127.08471552,1.1032932591855866,1.0487761887581462,1.3531135454192134,1.1032932591855866,1.0487761887581462,1.3531135454192134,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.967414435555554,0.7192982456140351,57.26372480085962,5628.566038126094,1.0487761887581462
0.0,0.0,0,0,4.0,17.0,1.1,0.55,19750.40102064787,5551.84502360493,115.17680247925288,1.0771689266208402,1.0344806874418013,1.2263260055708571,1.0771689266208402,1.0344806874418013,1.2263260055708571,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.967414435555554,0.7192982456140351,56.48318300171866,5551.84502360493,1.0344806874418013
0.0,0.0,0,0,4.0,17.0,1.1,0.6,19449.134002069666,5494.452358816064,106.8384102354194,1.060738097156219,1.0237866563453872,1.137544349602371,1.060738097156219,1.0237866563453872,1.137544349602371,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.967414435555554,0.7192982456140351,55.89928334774004,5494.452358816064,1.0237866563453872
0.0,0.0,0,0,4.0,17.0,1.1,0.65,19284.275835386376,5451.565923994646,101.23988590841577,1.0517468825340313,1.015795585199244,1.077934985327283,1.0517468825340313,1.015795585199244,1.077934985327283,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.967414435555554,0.7192982456140351,55.46296671137678,5451.565923994646,1.015795585199244
0.0,0.0,0,0,4.0,17.0,1.1,0.7,19224.8262975315,5419.56847077572,97.7588765351643,1.0485045587547677,1.0098334685944816,1.040871512230579,1.0485045587547677,1.0098334685944816,1.040871512230579,True,None,None,0.0,0.0,0.0,0.0,2.1,2.7,42.967414435555554,0.7192982456140351,55.13743204712205,5419.56847077572,1.0098334685944816
