Solution_ID,OC_original,OC_fixed,Cost_abs_fixed,Carbon_abs_fixed,Time_abs_fixed,Cost_norm_fixed,Carbon_norm_fixed,Time_norm_fixed,Dominates_S2_fixed
P108,1.0,1.0,18041.782415369446,5304.413203873429,90.06480444025458,0.983982420325193,0.9883764756198696,0.958950148764837,True
P109,1.0,1.0,18041.79276968822,5304.411097230393,90.06536195271723,0.9839829850403312,0.9883760830870222,0.9589560847868194,True
P110,1.0,1.0,18041.8369536706,5304.3620617534025,90.06198382467196,0.983985394794585,0.9883669462588631,0.9589201167256917,True
P111,1.0,1.0,18041.85360791812,5304.467356233812,90.06223496369395,0.9839863031021129,0.988386565881892,0.9589227906870021,True
P112,1.0,1.0,18041.878183651184,5304.262636948363,90.05191490394007,0.9839876434402648,0.9883484203381595,0.9588129095531035,True
P113,1.0,1.0,18041.871564097593,5304.26397303449,90.05191863814032,0.9839872824158264,0.9883486692923881,0.9588129493123847,True
P114,1.0,1.0,18041.9288803093,5304.16587847608,90.0444292789349,0.9839904083899359,0.9883303912378338,0.9587332075956416,True
P115,1.0,1.0,18041.95319570753,5304.171350724519,90.03947789399487,0.9839917345296626,0.9883314108872121,0.9586804885412414,True
P116,1.0,1.0,18041.94683519534,5304.164381995901,90.04191074215771,0.9839913876331069,0.9883301123972253,0.9587063918907482,True
P117,1.0,1.0,18041.974877244593,5304.114891819449,90.03843453520219,0.9839929170209943,0.9883208908444732,0.958669379550602,True
P118,1.0,1.0,18041.975193068647,5304.115035338191,90.03821162108648,0.9839929342457513,0.98832091758646,0.9586670061093255,True
P119,1.0,1.0,18042.006724904215,5304.0662574368125,90.03371441414623,0.9839946539634136,0.9883118287526155,0.9586191228402597,True
P120,1.0,1.0,18042.03240247483,5304.066484099581,90.03681392090677,0.9839960543947845,0.9883118709869099,0.9586521243272178,True
P121,1.0,1.0,18042.01920586618,5304.126560425821,90.03168904748053,0.9839953346637391,0.9883230650672566,0.9585975580827781,True
P122,1.0,1.0,18042.041479785657,5304.017455095916,90.02917244852004,0.9839965494630695,0.9883027353649319,0.9585707630104684,True
P123,1.0,1.0,18042.080169823206,5303.918953820248,90.02642322667155,0.9839986595825639,0.988284381526355,0.9585414911243306,True
P124,1.0,1.0,18042.080288326073,5303.919132189278,90.02597505068164,0.9839986660456026,0.9882844147620299,0.9585367192444063,True
P125,1.0,1.0,18042.146733207468,5303.820168070355,90.02033888049333,0.9840022898890627,0.9882659746814189,0.9584767090520327,True
P126,1.0,1.0,18042.14574917542,5303.820664120565,90.01727307463035,0.9840022362208488,0.9882660671109375,0.9584440663898224,True
P127,1.0,1.0,18042.17955548149,5303.872268747527,90.01611543655734,0.9840040799860658,0.9882756826513115,0.9584317406293966,True
P128,1.0,1.0,18042.211224872983,5303.823113001933,90.0123155986719,0.9840058072059032,0.9882665234133864,0.9583912824823083,True
P129,1.0,1.0,18042.248338233276,5303.883740221289,90.0097882010642,0.9840078313348528,0.9882778201421839,0.9583643724331835,True
P130,1.0,1.0,18042.253723717353,5303.671745602232,90.0055730988962,0.9840081250542612,0.9882383189784583,0.9583194928281461,True
P131,1.0,1.0,18042.240046638486,5303.725847112594,90.00422101240484,0.9840073791188066,0.9882483997655468,0.9583050967102608,True
P132,1.0,1.0,18042.242500901375,5303.673371380279,90.00590861782051,0.9840075129720747,0.9882386219112643,0.9583230652105476,True
P133,1.0,1.0,18042.258825379657,5303.672386490981,90.0038179072254,0.9840084032942878,0.9882384383958828,0.9583008047143563,True
P134,1.0,1.0,18042.275357025545,5303.62433195964,90.00213263428681,0.9840093049152341,0.9882294843482814,0.9582828610487345,True
P135,1.0,1.0,18042.305632689706,5303.576735688912,90.00248609308383,0.9840109561224493,0.9882206156888262,0.9582866244429715,True
P136,1.0,1.0,18042.341074898744,5303.525766140978,89.99675757761148,0.9840128891083277,0.9882111184833458,0.9582256310194188,True
P137,1.0,1.0,18042.326080904862,5303.579323119757,89.9944243582593,0.9840120713495248,0.9882210978073342,0.9582007884512393,True
P138,1.0,1.0,18042.34074995174,5303.526669482992,89.99488216288327,0.9840128713860135,0.9882112868039424,0.9582056628504566,True
P139,1.0,1.0,18042.38404386119,5303.476482727641,89.9895799347093,0.9840152325964984,0.988201935456966,0.9581492082505958,True
P140,1.0,1.0,18042.371847239196,5303.478840703083,89.99220324185158,0.9840145674038164,0.9882023748208253,0.9581771394806694,True
P141,1.0,1.0,18042.371847239196,5303.478840703083,89.99220324185158,0.9840145674038164,0.9882023748208253,0.9581771394806694,True
P142,1.0,1.0,18042.41461882604,5303.430822451352,89.99326698567187,0.9840169001273009,0.988193427533239,0.9581884655175275,True
P143,1.0,1.0,18042.413379243968,5303.430930687794,89.9931813778482,0.9840168325216211,0.9881934477010407,0.9581875540223463,True
P144,1.0,1.0,18042.43939454378,5303.38120105176,89.98566329950295,0.9840182513724356,0.9881841815295515,0.9581075065232992,True
P145,1.0,1.0,18042.43939454378,5303.38120105176,89.98566329950295,0.9840182513724356,0.9881841815295515,0.9581075065232992,True
P146,1.0,1.0,18042.43939454378,5303.38120105176,89.98566329950295,0.9840182513724356,0.9881841815295515,0.9581075065232992,True
P147,1.0,1.0,18042.44241085772,5303.380081590217,89.98376902565082,0.9840184158794572,0.9881839729391924,0.9580873375549259,True
P148,1.0,1.0,18042.459072397105,5303.378569706522,89.98139176721274,0.9840193245846768,0.9881836912284319,0.9580620260878439,True
P149,1.0,1.0,18042.46055747898,5303.378585550713,89.98125435265197,0.9840194055796928,0.9881836941806954,0.9580605629889751,True
P150,1.0,1.0,18042.46096043834,5303.378744617611,89.98103204465764,0.9840194275567303,0.9881837238197854,0.958058196001276,True
P151,1.0,1.0,18042.472328634773,5301.67410264724,89.88126282462096,0.9840200475678347,0.9878660962221392,0.9569959196882264,True
P152,1.0,1.0,18042.473369019473,5301.673726969888,89.88097932701254,0.984020104309471,0.9878660262218124,0.9569929011942047,True
P153,1.0,1.0,18042.468189292056,5301.488490437805,89.87207851468452,0.9840198218118439,0.9878315109184793,0.9568981312631629,True
P154,1.0,1.0,18042.471866826672,5301.360130619468,89.8637915316464,0.9840200223812404,0.9878075935085824,0.9568098969782322,True
P155,1.0,1.0,18042.471866826672,5301.360130619468,89.8637915316464,0.9840200223812404,0.9878075935085824,0.9568098969782322,True
P156,1.0,1.0,18042.482989973112,5300.923896385279,89.83846248144927,0.9840206290275408,0.9877263095590934,0.956540210094376,True
P157,1.0,1.0,18042.490800992553,5300.676991387929,89.82614370301852,0.9840210550334442,0.9876803035105987,0.9564090479330613,True
P158,1.0,1.0,18042.491183746628,5300.675471561445,89.82691112858423,0.9840210759085036,0.9876800203198506,0.9564172189701826,True
P159,1.0,1.0,18042.49892390652,5300.551398720482,89.82033249802475,0.9840214980497917,0.9876569017066208,0.9563471740864693,True
P160,1.0,1.0,18042.503321671167,5300.489307886383,89.81686865275579,0.9840217378998796,0.9876453322610637,0.9563102933653417,True
P161,1.0,1.0,18042.51608537195,5300.3639948260225,89.80933303910756,0.9840224340205233,0.9876219825565462,0.9562300591620486,True
P162,1.0,1.0,18042.518273032583,5300.303204724696,89.80651270097083,0.9840225533335466,0.9876106554777927,0.9562000300769627,True
